names,atom_pos,atoms,water_counts
1066,"[2.0652 2.063  9.369  2.1486 2.0306 9.3243 2.0603 2.0257 9.4616 2.0265
 1.9652 9.6217 1.9365 1.9881 9.6589 2.059  1.8802 9.663 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
535,"[2.0413 1.9851 9.612  2.1237 2.032  9.6439 1.967  2.     9.6773 1.956
 2.0008 9.369  1.9774 1.9904 9.4661 2.0149 1.9405 9.3152]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1056,"[1.9724 2.0333 9.6331 2.0456 2.087  9.675  1.8847 2.0592 9.6737 2.0167
 1.9666 9.3694 2.0151 1.9882 9.467  2.0878 2.0208 9.3245]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1105,"[2.0527 1.9709 9.6524 2.0496 2.062  9.6936 2.1336 1.9222 9.6854 1.8967
 1.9882 9.3137 1.9712 2.0424 9.2746 1.9231 1.9561 9.4047]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1035,"[2.0813 1.9568 9.6377 2.165  1.9472 9.6914 2.0373 2.0439 9.6597 2.0435
 1.9388 9.3834 2.058  1.9456 9.4821 1.9471 1.9195 9.3651]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
785,"[2.0372 2.0449 9.4254 2.0624 1.9862 9.5024 2.0905 2.1294 9.4291 2.1368
 1.8838 9.669  2.0611 1.9316 9.7137 2.2159 1.9448 9.6632]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
157,"[2.0477 1.9595 9.5617 2.0303 2.0532 9.5919 2.0103 1.8954 9.6288 2.0314
 1.9095 9.2937 1.9673 1.9797 9.2625 2.0453 1.9185 9.3923]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1237,"[2.0632 1.9272 9.3163 2.0008 1.997  9.2813 2.1568 1.9492 9.289  2.0371
 1.8794 9.6033 2.0566 1.8848 9.5054 2.0381 1.9714 9.6426]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1213,"[2.0943 2.0179 9.6407 2.1014 1.9266 9.681  2.1383 2.0844 9.701  1.9968
 1.9466 9.4067 1.9606 2.0322 9.3697 2.0378 1.9637 9.4963]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
701,"[2.0611 1.8723 9.62   2.1431 1.8613 9.6761 1.9819 1.8362 9.6692 2.0573
 1.8747 9.3385 2.0181 1.7934 9.2955 2.059  1.8624 9.4378]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1052,"[2.1078 1.9136 9.6221 2.0865 1.8407 9.6871 2.1735 1.9768 9.6632 2.0262
 2.0133 9.3881 2.0554 1.9777 9.4769 2.1042 2.0145 9.3255]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
318,"[1.9563 1.994  9.6033 1.9912 2.0647 9.6648 1.8743 2.0277 9.557  1.9717
 1.87   9.337  2.0191 1.7902 9.2996 1.9978 1.8825 9.4327]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
761,"[2.1085 1.9763 9.63   2.1592 2.0608 9.6471 2.1177 1.9508 9.5337 2.1394
 1.9476 9.347  2.1823 1.8829 9.284  2.1651 2.0409 9.3218]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1166,"[2.0001 1.9776 9.4066 1.9787 2.015  9.4968 1.9198 1.985  9.3475 2.03
 1.9676 9.6829 2.1284 1.9524 9.6922 1.9997 2.033  9.7522]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1139,"[2.0853 1.8809 9.6813 2.0797 1.9062 9.5847 1.994  1.8838 9.7219 1.9959
 1.9658 9.4436 1.9387 1.9505 9.3631 1.9514 2.032  9.504 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
331,"[1.9974 1.982  9.2965 2.081  2.0209 9.2577 1.9198 2.041  9.2743 2.0339
 1.8884 9.5372 2.0627 1.7932 9.5271 2.0147 1.9272 9.447 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
751,"[2.076  1.8663 9.6645 2.0633 1.9583 9.7014 2.1527 1.822  9.711  2.0206
 1.926  9.4069 1.929  1.8901 9.389  2.0534 1.8913 9.4948]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1606,"[2.0511 2.0397 9.617  1.9742 2.1035 9.617  2.0217 1.952  9.655  2.1125
 1.9399 9.3723 2.0944 1.9487 9.4703 2.1487 2.0262 9.3372]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
699,"[1.9846 1.958  9.5698 2.0747 1.9198 9.5902 1.9211 1.9349 9.6435 2.0399
 1.997  9.3039 2.0113 1.9105 9.2628 2.0193 1.9958 9.4018]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1821,"[1.9575 2.0368 9.5912 1.8959 1.96   9.6089 1.9811 2.039  9.4941 2.0441
 2.0651 9.3261 2.0433 2.1411 9.2611 2.0259 1.9795 9.2776]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1128,"[2.1227 1.939  9.6034 2.1633 2.0237 9.6378 2.1131 1.9446 9.504  2.0896
 1.9585 9.3267 2.0291 1.8844 9.2975 2.177  1.951  9.2787]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
652,"[1.9581 1.931  9.6678 2.018  1.8576 9.6996 1.9669 1.9407 9.5687 2.0328
 1.9284 9.4061 2.0072 2.0145 9.3622 1.9786 1.8538 9.3675]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
516,"[1.9881 2.0298 9.4917 1.9143 2.0971 9.4872 2.0676 2.0641 9.4417 1.9482
 1.8125 9.3023 2.0215 1.8499 9.2454 1.9694 1.8286 9.3987]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
256,"[2.036  2.0246 9.5828 2.0257 1.9457 9.6434 2.038  2.1084 9.6373 2.0362
 1.9956 9.3046 2.1256 1.9905 9.2601 2.0486 2.0049 9.4034]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1861,"[2.0553 2.0025 9.5952 2.0975 1.9268 9.6452 2.0109 2.0645 9.6599 2.0555
 1.991  9.334  1.9617 1.9989 9.3004 2.0565 2.0028 9.4333]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1952,"[1.9805 2.1402 9.6693 2.0194 2.2309 9.6857 1.8935 2.1319 9.7179 2.0003
 2.0164 9.4303 1.9769 2.0792 9.5045 2.062  1.9456 9.4647]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
914,"[2.0576 1.9404 9.3591 1.9996 1.9282 9.2785 2.1537 1.9392 9.3315 1.9753
 1.971  9.6009 1.8755 1.9659 9.5976 2.0117 1.9724 9.5078]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1215,"[2.069  1.9388 9.6443 2.087  2.0273 9.6872 2.1364 1.872  9.6759 1.9954
 1.9543 9.3876 2.0257 1.9496 9.4828 2.0515 2.0205 9.338 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1334,"[2.0421 1.9829 9.397  2.115  1.9162 9.3818 1.9846 1.9886 9.3154 1.965
 1.9385 9.6509 1.9917 1.9544 9.5558 1.9151 2.018  9.6853]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1843,"[2.0097 1.9943 9.5814 1.9876 1.8988 9.6012 2.0107 2.0084 9.4824 2.0662
 1.9733 9.3275 2.1058 2.0564 9.2887 2.09   1.895  9.2701]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1724,"[2.0618 1.8907 9.3971 2.0754 1.8817 9.4957 2.016  1.9775 9.3776 2.1193
 1.9162 9.6709 2.0662 1.846  9.7184 2.1959 1.9447 9.7285]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1322,"[2.0942 1.8683 9.3415 2.1585 1.8421 9.2695 2.0029 1.8792 9.3022 2.0857
 1.9402 9.5908 2.0775 1.9167 9.4939 2.133  1.8665 9.6391]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
453,"[1.9927 1.942  9.6329 2.0733 1.9199 9.6878 1.9479 2.023  9.6705 1.9848
 1.9734 9.3622 1.9846 1.9732 9.4622 1.904  1.925  9.3286]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
608,"[1.9456 1.9971 9.3392 1.948  1.9906 9.439  1.9895 1.9164 9.2995 1.9378
 1.9736 9.6236 1.8658 2.0377 9.6501 1.9253 1.8873 9.6725]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
